,Altitude,Alt Unit,Datetime
0,,,2024-09-09 02:21:14
1,,,2024-09-09 02:21:15
2,,,2024-09-09 02:21:16
3,,,2024-09-09 02:21:17
4,,,2024-09-09 02:21:17
5,,,2024-09-09 02:21:19
6,,,2024-09-09 02:21:20
7,,,2024-09-09 02:21:21
8,,,2024-09-09 02:21:22
9,,,2024-09-09 02:21:23
10,,,2024-09-09 02:21:24
11,,,2024-09-09 02:21:25
12,,,2024-09-09 02:21:26
13,,,2024-09-09 02:21:27
14,,,2024-09-09 02:21:28
15,,,2024-09-09 02:21:29
16,,,2024-09-09 02:21:30
17,,,2024-09-09 02:21:31
18,56.1,M,2024-09-09 02:21:32
19,56.0,M,2024-09-09 02:21:33
20,55.9,M,2024-09-09 02:21:34
21,55.6,M,2024-09-09 02:21:35
22,54.8,M,2024-09-09 02:21:36
23,54.4,M,2024-09-09 02:21:37
24,54.0,M,2024-09-09 02:21:38
25,53.9,M,2024-09-09 02:21:39
26,53.5,M,2024-09-09 02:21:40
27,53.2,M,2024-09-09 02:21:41
28,52.9,M,2024-09-09 02:21:42
29,52.8,M,2024-09-09 02:21:43
30,53.0,M,2024-09-09 02:21:44
31,52.8,M,2024-09-09 02:21:45
32,53.1,M,2024-09-09 02:21:46
33,53.5,M,2024-09-09 02:21:47
34,53.6,M,2024-09-09 02:21:48
35,53.9,M,2024-09-09 02:21:49
36,53.9,M,2024-09-09 02:21:50
37,53.6,M,2024-09-09 02:21:51
38,54.4,M,2024-09-09 02:21:52
39,54.4,M,2024-09-09 02:21:53
40,54.8,M,2024-09-09 02:21:54
41,54.9,M,2024-09-09 02:21:55
42,55.0,M,2024-09-09 02:21:56
43,54.6,M,2024-09-09 02:21:57
44,54.7,M,2024-09-09 02:21:58
45,54.3,M,2024-09-09 02:21:59
46,54.4,M,2024-09-09 02:22:00
47,54.2,M,2024-09-09 02:22:01
48,53.8,M,2024-09-09 02:22:02
49,53.8,M,2024-09-09 02:22:03
50,53.7,M,2024-09-09 02:22:04
51,53.9,M,2024-09-09 02:22:05
52,54.0,M,2024-09-09 02:22:06
53,53.6,M,2024-09-09 02:22:07
54,53.5,M,2024-09-09 02:22:08
55,53.2,M,2024-09-09 02:22:09
56,53.1,M,2024-09-09 02:22:10
57,53.4,M,2024-09-09 02:22:11
58,53.7,M,2024-09-09 02:22:12
59,53.5,M,2024-09-09 02:22:13
60,53.7,M,2024-09-09 02:22:14
61,53.7,M,2024-09-09 02:22:15
62,53.8,M,2024-09-09 02:22:16
63,53.7,M,2024-09-09 02:22:17
64,53.3,M,2024-09-09 02:22:18
65,53.0,M,2024-09-09 02:22:19
66,53.1,M,2024-09-09 02:22:20
67,53.6,M,2024-09-09 02:22:21
68,54.0,M,2024-09-09 02:22:22
69,54.1,M,2024-09-09 02:22:23
70,54.1,M,2024-09-09 02:22:24
71,53.0,M,2024-09-09 02:22:25
72,52.9,M,2024-09-09 02:22:26
73,52.8,M,2024-09-09 02:22:27
74,53.0,M,2024-09-09 02:22:28
75,53.0,M,2024-09-09 02:22:29
76,52.8,M,2024-09-09 02:22:30
77,52.2,M,2024-09-09 02:22:31
78,51.5,M,2024-09-09 02:22:32
79,50.4,M,2024-09-09 02:22:33
80,50.1,M,2024-09-09 02:22:34
81,52.6,M,2024-09-09 02:22:35
82,53.0,M,2024-09-09 02:22:36
83,53.0,M,2024-09-09 02:22:37
84,52.8,M,2024-09-09 02:22:38
85,52.5,M,2024-09-09 02:22:39
86,52.1,M,2024-09-09 02:22:40
87,51.7,M,2024-09-09 02:22:41
88,51.3,M,2024-09-09 02:22:42
89,50.9,M,2024-09-09 02:22:43
90,51.0,M,2024-09-09 02:22:44
91,51.2,M,2024-09-09 02:22:45
92,51.1,M,2024-09-09 02:22:46
93,51.0,M,2024-09-09 02:22:47
94,51.0,M,2024-09-09 02:22:48
95,51.0,M,2024-09-09 02:22:49
96,51.0,M,2024-09-09 02:22:50
97,50.9,M,2024-09-09 02:22:51
98,50.8,M,2024-09-09 02:22:52
99,50.9,M,2024-09-09 02:22:53
100,50.8,M,2024-09-09 02:22:54
101,50.6,M,2024-09-09 02:22:55
102,50.6,M,2024-09-09 02:22:56
103,50.5,M,2024-09-09 02:22:57
104,50.5,M,2024-09-09 02:22:58
105,50.4,M,2024-09-09 02:22:59
106,50.3,M,2024-09-09 02:23:00
107,49.9,M,2024-09-09 02:23:01
108,49.4,M,2024-09-09 02:23:02
109,49.1,M,2024-09-09 02:23:03
110,48.8,M,2024-09-09 02:23:04
111,48.3,M,2024-09-09 02:23:05
112,48.1,M,2024-09-09 02:23:06
113,47.9,M,2024-09-09 02:23:07
114,48.0,M,2024-09-09 02:23:08
115,47.9,M,2024-09-09 02:23:09
116,47.9,M,2024-09-09 02:23:10
117,47.7,M,2024-09-09 02:23:11
118,47.5,M,2024-09-09 02:23:12
119,47.5,M,2024-09-09 02:23:13
120,47.5,M,2024-09-09 02:23:14
121,47.3,M,2024-09-09 02:23:15
122,47.1,M,2024-09-09 02:23:16
123,47.1,M,2024-09-09 02:23:17
124,46.8,M,2024-09-09 02:23:18
125,46.5,M,2024-09-09 02:23:19
126,46.2,M,2024-09-09 02:23:20
127,45.9,M,2024-09-09 02:23:21
128,46.6,M,2024-09-09 02:23:22
129,46.9,M,2024-09-09 02:23:23
130,46.9,M,2024-09-09 02:23:24
131,46.9,M,2024-09-09 02:23:25
132,46.8,M,2024-09-09 02:23:26
133,46.8,M,2024-09-09 02:23:27
134,46.9,M,2024-09-09 02:23:28
135,46.8,M,2024-09-09 02:23:29
136,46.7,M,2024-09-09 02:23:30
137,46.7,M,2024-09-09 02:23:31
138,47.1,M,2024-09-09 02:23:32
139,47.6,M,2024-09-09 02:23:33
140,48.4,M,2024-09-09 02:23:34
141,48.8,M,2024-09-09 02:23:35
142,49.2,M,2024-09-09 02:23:36
143,49.3,M,2024-09-09 02:23:37
144,49.4,M,2024-09-09 02:23:38
145,49.5,M,2024-09-09 02:23:39
146,49.4,M,2024-09-09 02:23:40
147,49.3,M,2024-09-09 02:23:41
148,49.3,M,2024-09-09 02:23:42
149,49.3,M,2024-09-09 02:23:43
150,49.3,M,2024-09-09 02:23:44
151,49.2,M,2024-09-09 02:23:45
152,49.3,M,2024-09-09 02:23:46
153,49.3,M,2024-09-09 02:23:47
154,49.3,M,2024-09-09 02:23:48
155,49.4,M,2024-09-09 02:23:49
156,49.4,M,2024-09-09 02:23:50
157,49.5,M,2024-09-09 02:23:51
158,49.6,M,2024-09-09 02:23:52
159,49.6,M,2024-09-09 02:23:53
160,49.6,M,2024-09-09 02:23:54
161,49.5,M,2024-09-09 02:23:55
162,49.4,M,2024-09-09 02:23:56
163,49.4,M,2024-09-09 02:23:57
164,49.4,M,2024-09-09 02:23:58
165,49.4,M,2024-09-09 02:23:59
166,49.7,M,2024-09-09 02:24:00
167,49.9,M,2024-09-09 02:24:01
168,49.9,M,2024-09-09 02:24:02
169,50.0,M,2024-09-09 02:24:03
170,50.1,M,2024-09-09 02:24:04
171,50.1,M,2024-09-09 02:24:05
172,50.2,M,2024-09-09 02:24:06
173,50.3,M,2024-09-09 02:24:07
174,50.1,M,2024-09-09 02:24:08
175,49.9,M,2024-09-09 02:24:09
176,49.7,M,2024-09-09 02:24:10
177,49.7,M,2024-09-09 02:24:11
178,50.0,M,2024-09-09 02:24:12
179,50.0,M,2024-09-09 02:24:13
180,49.7,M,2024-09-09 02:24:14
181,48.8,M,2024-09-09 02:24:15
182,47.8,M,2024-09-09 02:24:16
183,47.2,M,2024-09-09 02:24:17
184,46.7,M,2024-09-09 02:24:18
185,46.2,M,2024-09-09 02:24:19
186,46.2,M,2024-09-09 02:24:20
187,46.0,M,2024-09-09 02:24:21
188,46.1,M,2024-09-09 02:24:22
189,45.9,M,2024-09-09 02:24:23
190,45.7,M,2024-09-09 02:24:24
191,45.5,M,2024-09-09 02:24:25
192,45.5,M,2024-09-09 02:24:26
193,45.3,M,2024-09-09 02:24:27
194,45.2,M,2024-09-09 02:24:28
195,45.0,M,2024-09-09 02:24:29
196,44.7,M,2024-09-09 02:24:30
197,44.7,M,2024-09-09 02:24:31
198,44.6,M,2024-09-09 02:24:32
199,44.5,M,2024-09-09 02:24:33
200,44.1,M,2024-09-09 02:24:34
201,44.1,M,2024-09-09 02:24:35
202,44.1,M,2024-09-09 02:24:36
203,43.9,M,2024-09-09 02:24:37
204,43.8,M,2024-09-09 02:24:38
205,44.0,M,2024-09-09 02:24:39
206,44.1,M,2024-09-09 02:24:40
207,44.3,M,2024-09-09 02:24:41
208,44.4,M,2024-09-09 02:24:42
209,44.8,M,2024-09-09 02:24:43
210,44.9,M,2024-09-09 02:24:44
211,44.8,M,2024-09-09 02:24:45
212,44.7,M,2024-09-09 02:24:46
213,44.4,M,2024-09-09 02:24:47
214,44.2,M,2024-09-09 02:24:48
215,43.9,M,2024-09-09 02:24:49
216,43.9,M,2024-09-09 02:24:50
217,44.0,M,2024-09-09 02:24:51
218,44.0,M,2024-09-09 02:24:52
219,44.0,M,2024-09-09 02:24:53
220,44.1,M,2024-09-09 02:24:54
221,43.8,M,2024-09-09 02:24:55
222,43.9,M,2024-09-09 02:24:56
223,43.5,M,2024-09-09 02:24:57
224,43.2,M,2024-09-09 02:24:58
225,42.9,M,2024-09-09 02:24:59
226,42.5,M,2024-09-09 02:25:00
227,42.5,M,2024-09-09 02:25:01
228,42.5,M,2024-09-09 02:25:02
229,42.6,M,2024-09-09 02:25:03
230,42.2,M,2024-09-09 02:25:04
231,42.4,M,2024-09-09 02:25:05
232,42.3,M,2024-09-09 02:25:06
233,42.0,M,2024-09-09 02:25:07
234,41.7,M,2024-09-09 02:25:08
235,41.4,M,2024-09-09 02:25:09
236,41.0,M,2024-09-09 02:25:10
237,40.4,M,2024-09-09 02:25:11
238,40.0,M,2024-09-09 02:25:12
239,39.8,M,2024-09-09 02:25:13
240,39.5,M,2024-09-09 02:25:14
241,39.4,M,2024-09-09 02:25:15
242,39.3,M,2024-09-09 02:25:16
243,39.0,M,2024-09-09 02:25:17
244,39.0,M,2024-09-09 02:25:18
245,38.5,M,2024-09-09 02:25:19
246,38.1,M,2024-09-09 02:25:20
247,38.1,M,2024-09-09 02:25:21
248,37.6,M,2024-09-09 02:25:22
249,37.4,M,2024-09-09 02:25:23
250,36.5,M,2024-09-09 02:25:24
251,36.3,M,2024-09-09 02:25:25
252,36.4,M,2024-09-09 02:25:26
253,36.2,M,2024-09-09 02:25:27
254,35.7,M,2024-09-09 02:25:28
255,35.3,M,2024-09-09 02:25:29
256,35.0,M,2024-09-09 02:25:30
257,34.9,M,2024-09-09 02:25:31
258,35.1,M,2024-09-09 02:25:32
259,35.3,M,2024-09-09 02:25:33
260,34.7,M,2024-09-09 02:25:34
261,34.6,M,2024-09-09 02:25:35
262,34.2,M,2024-09-09 02:25:36
263,33.9,M,2024-09-09 02:25:37
264,33.7,M,2024-09-09 02:25:38
265,33.2,M,2024-09-09 02:25:39
266,32.9,M,2024-09-09 02:25:40
267,32.9,M,2024-09-09 02:25:41
268,33.0,M,2024-09-09 02:25:42
269,33.2,M,2024-09-09 02:25:43
270,33.0,M,2024-09-09 02:25:44
271,32.9,M,2024-09-09 02:25:45
272,33.2,M,2024-09-09 02:25:46
273,33.5,M,2024-09-09 02:25:47
274,33.6,M,2024-09-09 02:25:48
275,33.4,M,2024-09-09 02:25:49
276,33.2,M,2024-09-09 02:25:50
277,33.1,M,2024-09-09 02:25:51
278,34.4,M,2024-09-09 02:25:52
279,35.8,M,2024-09-09 02:25:53
280,37.2,M,2024-09-09 02:25:54
281,38.2,M,2024-09-09 02:25:55
282,39.2,M,2024-09-09 02:25:56
283,40.3,M,2024-09-09 02:25:57
284,41.8,M,2024-09-09 02:25:58
285,43.3,M,2024-09-09 02:25:59
286,44.6,M,2024-09-09 02:26:00
287,45.9,M,2024-09-09 02:26:01
288,47.2,M,2024-09-09 02:26:02
289,48.8,M,2024-09-09 02:26:03
290,50.3,M,2024-09-09 02:26:04
291,51.6,M,2024-09-09 02:26:05
292,52.9,M,2024-09-09 02:26:06
293,54.0,M,2024-09-09 02:26:07
294,55.1,M,2024-09-09 02:26:08
295,56.2,M,2024-09-09 02:26:09
296,57.0,M,2024-09-09 02:26:10
297,57.6,M,2024-09-09 02:26:11
298,58.3,M,2024-09-09 02:26:12
299,58.8,M,2024-09-09 02:26:13
300,59.0,M,2024-09-09 02:26:14
301,59.8,M,2024-09-09 02:26:15
302,60.2,M,2024-09-09 02:26:16
303,60.3,M,2024-09-09 02:26:17
304,57.0,M,2024-09-09 02:26:18
305,54.9,M,2024-09-09 02:26:19
306,54.2,M,2024-09-09 02:26:20
307,53.1,M,2024-09-09 02:26:21
308,52.0,M,2024-09-09 02:26:22
309,50.9,M,2024-09-09 02:26:23
310,50.2,M,2024-09-09 02:26:24
311,49.9,M,2024-09-09 02:26:25
312,49.2,M,2024-09-09 02:26:26
313,48.8,M,2024-09-09 02:26:27
314,48.3,M,2024-09-09 02:26:28
315,48.3,M,2024-09-09 02:26:29
316,48.3,M,2024-09-09 02:26:30
317,47.9,M,2024-09-09 02:26:31
318,47.6,M,2024-09-09 02:26:32
319,47.2,M,2024-09-09 02:26:33
320,46.9,M,2024-09-09 02:26:34
321,46.7,M,2024-09-09 02:26:35
322,46.5,M,2024-09-09 02:26:36
323,46.3,M,2024-09-09 02:26:37
324,46.1,M,2024-09-09 02:26:38
325,45.9,M,2024-09-09 02:26:39
326,45.7,M,2024-09-09 02:26:40
327,45.6,M,2024-09-09 02:26:41
328,45.8,M,2024-09-09 02:26:42
329,46.1,M,2024-09-09 02:26:43
330,46.0,M,2024-09-09 02:26:44
331,46.2,M,2024-09-09 02:26:45
332,46.0,M,2024-09-09 02:26:46
333,45.8,M,2024-09-09 02:26:47
334,45.4,M,2024-09-09 02:26:48
335,45.2,M,2024-09-09 02:26:49
336,45.2,M,2024-09-09 02:26:50
337,45.8,M,2024-09-09 02:26:51
338,47.0,M,2024-09-09 02:26:52
339,48.3,M,2024-09-09 02:26:53
340,49.3,M,2024-09-09 02:26:54
341,50.4,M,2024-09-09 02:26:55
342,51.1,M,2024-09-09 02:26:56
343,51.7,M,2024-09-09 02:26:57
344,51.1,M,2024-09-09 02:26:58
345,50.5,M,2024-09-09 02:26:59
346,49.9,M,2024-09-09 02:27:00
347,49.7,M,2024-09-09 02:27:01
348,48.6,M,2024-09-09 02:27:02
349,47.1,M,2024-09-09 02:27:03
350,45.2,M,2024-09-09 02:27:04
351,43.5,M,2024-09-09 02:27:05
352,41.1,M,2024-09-09 02:27:06
353,39.5,M,2024-09-09 02:27:07
354,37.6,M,2024-09-09 02:27:08
355,35.8,M,2024-09-09 02:27:09
356,33.8,M,2024-09-09 02:27:10
357,31.6,M,2024-09-09 02:27:11
358,29.3,M,2024-09-09 02:27:12
359,28.9,M,2024-09-09 02:27:13
360,28.4,M,2024-09-09 02:27:14
361,28.0,M,2024-09-09 02:27:15
362,27.6,M,2024-09-09 02:27:16
363,27.5,M,2024-09-09 02:27:17
364,27.4,M,2024-09-09 02:27:18
365,27.2,M,2024-09-09 02:27:19
366,28.1,M,2024-09-09 02:27:20
367,27.8,M,2024-09-09 02:27:21
368,29.3,M,2024-09-09 02:27:22
369,32.5,M,2024-09-09 02:27:23
370,35.3,M,2024-09-09 02:27:24
371,36.5,M,2024-09-09 02:27:25
372,36.5,M,2024-09-09 02:27:26
373,37.9,M,2024-09-09 02:27:27
374,39.5,M,2024-09-09 02:27:28
375,41.3,M,2024-09-09 02:27:29
376,42.4,M,2024-09-09 02:27:30
377,43.2,M,2024-09-09 02:27:31
378,43.8,M,2024-09-09 02:27:32
379,43.7,M,2024-09-09 02:27:33
380,43.5,M,2024-09-09 02:27:34
381,43.2,M,2024-09-09 02:27:35
382,43.0,M,2024-09-09 02:27:36
383,42.4,M,2024-09-09 02:27:37
384,42.8,M,2024-09-09 02:27:38
385,43.0,M,2024-09-09 02:27:39
386,42.8,M,2024-09-09 02:27:40
387,42.5,M,2024-09-09 02:27:41
388,42.5,M,2024-09-09 02:27:42
389,42.5,M,2024-09-09 02:27:43
390,42.4,M,2024-09-09 02:27:44
391,42.4,M,2024-09-09 02:27:45
392,42.7,M,2024-09-09 02:27:46
393,43.0,M,2024-09-09 02:27:47
394,43.3,M,2024-09-09 02:27:48
395,43.3,M,2024-09-09 02:27:49
396,43.4,M,2024-09-09 02:27:50
397,43.7,M,2024-09-09 02:27:51
398,44.1,M,2024-09-09 02:27:52
399,44.1,M,2024-09-09 02:27:53
400,44.2,M,2024-09-09 02:27:54
401,44.1,M,2024-09-09 02:27:55
402,43.9,M,2024-09-09 02:27:56
403,43.8,M,2024-09-09 02:27:57
404,43.5,M,2024-09-09 02:27:58
405,43.2,M,2024-09-09 02:27:59
406,42.8,M,2024-09-09 02:28:00
407,42.6,M,2024-09-09 02:28:01
408,42.6,M,2024-09-09 02:28:02
409,42.3,M,2024-09-09 02:28:03
410,41.4,M,2024-09-09 02:28:04
411,40.6,M,2024-09-09 02:28:05
412,39.9,M,2024-09-09 02:28:06
413,39.2,M,2024-09-09 02:28:07
414,39.3,M,2024-09-09 02:28:08
415,39.3,M,2024-09-09 02:28:09
416,39.4,M,2024-09-09 02:28:10
417,39.3,M,2024-09-09 02:28:11
418,39.1,M,2024-09-09 02:28:12
419,38.9,M,2024-09-09 02:28:13
420,38.5,M,2024-09-09 02:28:14
421,37.9,M,2024-09-09 02:28:15
422,37.7,M,2024-09-09 02:28:16
423,37.8,M,2024-09-09 02:28:17
424,38.0,M,2024-09-09 02:28:18
425,38.1,M,2024-09-09 02:28:19
426,38.1,M,2024-09-09 02:28:20
427,37.7,M,2024-09-09 02:28:21
428,37.5,M,2024-09-09 02:28:22
429,37.3,M,2024-09-09 02:28:23
430,37.0,M,2024-09-09 02:28:24
431,36.7,M,2024-09-09 02:28:25
432,36.6,M,2024-09-09 02:28:26
433,36.3,M,2024-09-09 02:28:27
434,36.0,M,2024-09-09 02:28:28
435,35.7,M,2024-09-09 02:28:29
436,35.4,M,2024-09-09 02:28:30
437,35.0,M,2024-09-09 02:28:31
438,34.8,M,2024-09-09 02:28:32
439,34.5,M,2024-09-09 02:28:33
440,34.1,M,2024-09-09 02:28:34
441,33.8,M,2024-09-09 02:28:35
442,33.6,M,2024-09-09 02:28:36
443,33.4,M,2024-09-09 02:28:37
444,33.4,M,2024-09-09 02:28:38
445,33.3,M,2024-09-09 02:28:39
446,32.8,M,2024-09-09 02:28:40
447,32.5,M,2024-09-09 02:28:41
448,32.3,M,2024-09-09 02:28:42
449,31.9,M,2024-09-09 02:28:43
450,31.7,M,2024-09-09 02:28:44
451,31.2,M,2024-09-09 02:28:45
452,31.2,M,2024-09-09 02:28:46
453,30.6,M,2024-09-09 02:28:47
454,30.8,M,2024-09-09 02:28:48
455,30.6,M,2024-09-09 02:28:49
456,30.7,M,2024-09-09 02:28:50
457,30.8,M,2024-09-09 02:28:51
458,30.9,M,2024-09-09 02:28:52
459,31.1,M,2024-09-09 02:28:53
460,31.1,M,2024-09-09 02:28:54
461,31.1,M,2024-09-09 02:28:55
462,31.7,M,2024-09-09 02:28:56
463,32.2,M,2024-09-09 02:28:57
464,32.5,M,2024-09-09 02:28:58
465,32.6,M,2024-09-09 02:28:59
466,32.6,M,2024-09-09 02:29:00
467,32.8,M,2024-09-09 02:29:01
468,32.5,M,2024-09-09 02:29:02
469,32.3,M,2024-09-09 02:29:03
470,36.0,M,2024-09-09 02:29:04
471,36.2,M,2024-09-09 02:29:05
472,36.1,M,2024-09-09 02:29:06
473,36.0,M,2024-09-09 02:29:07
474,35.9,M,2024-09-09 02:29:08
475,35.9,M,2024-09-09 02:29:09
476,35.8,M,2024-09-09 02:29:10
477,35.7,M,2024-09-09 02:29:11
478,35.7,M,2024-09-09 02:29:12
479,,,2024-09-09 02:21:14
480,,,2024-09-09 02:21:15
481,,,2024-09-09 02:21:16
482,,,2024-09-09 02:21:17
483,,,2024-09-09 02:21:17
484,,,2024-09-09 02:21:19
485,,,2024-09-09 02:21:20
